id,review_id,content,modified_at
1,1,"Постоянно мерцает экран, что вызывает дискомфорт при использовании.","2023-05-03 13:31:32.186799 MSK"
2,2,"Конструкция монитора позволяет эффективно отводить тепло, что обеспечивает стабильную работу в любых условиях.","2023-05-03 13:32:32.186799 MSK"
3,3,"Удобная настройка высоты и угла наклона монитора — важно для комфортной работы.","2023-05-03 13:33:32.186799 MSK"
4,4,"Отсутствие мерцания и искажения изображения делает этот монитор идеальным для игр и работы.","2023-05-03 13:34:32.186799 MSK"
5,5,"Подставка монитора оказалась неустойчивой — требуется дополнительная поддержка для предотвращения падения.","2023-05-03 13:35:32.186799 MSK"
6,6,"При подключении к монитору возникают проблемы с драйверами — необходимо тратить время на устранение неисправностей.","2023-05-03 13:36:32.186799 MSK"
7,7,"Качество изготовления оставляет желать лучшего — дешевые материалы и неаккуратная сборка.","2023-05-03 13:37:32.186799 MSK"
8,8,"Простота подключения и настройки — всего несколько шагов и монитор готов к использованию.","2023-05-03 13:38:32.186799 MSK"
9,9,"Слабые встроенные динамики — звук искаженный и неудовлетворительный.","2023-05-03 13:39:32.186799 MSK"
10,10,"Качество изображения на этом мониторе просто потрясающее!","2023-05-03 13:40:32.186799 MSK"
11,11,"Меню настроек монитора неудобное и запутанное — сложно разобраться без инструкции.","2023-05-03 13:41:32.186799 MSK"
12,12,"Превосходное соотношение цена/качество — монитор полностью оправдал свою стоимость.","2023-05-03 13:42:32.186799 MSK"
13,13,"Экран чувствителен к отпечаткам пальцев и праху, постоянно приходится чистить.","2023-05-03 13:43:32.186799 MSK"
14,14,"Долгий срок службы и надежная конструкция делают этот монитор отличным выбором для дома и офиса.","2023-05-03 13:44:32.186799 MSK"
15,15,"Рамка вокруг экрана почти невидима — создается впечатление бесконечного пространства.","2023-05-03 13:45:32.186799 MSK"
16,1,"Плохая устойчивость к внешним воздействиям — царапается и повреждается даже при аккуратной эксплуатации.","2023-05-03 13:31:33.186799 MSK"
17,2,"Неудобная раскладка портов на задней панели — приходится высовываться и мучиться с подключением кабелей.","2023-05-03 13:32:33.186799 MSK"
